,link,text,user,likes,quotes,retweets,comments,date
46,https://twitter.com/WallStreetSilv/status/1824543873986859365#m,"Flashback:  NPR CEO Katherine Maher telling us that the “truth gets in the way of getting things done” 👀👀  This is what the legacy ""news"" media actually believes. But normally they don't say it out loud as the NPR CEO did.  🔊",Wall Street Silver,21500,424,6054,1750,"Aug 16, 2024 · 8:28 PM UTC"
47,https://twitter.com/DongWookChung2/status/1824533755077230758#m,Community Spam Setting is now accessible to all admins with the web and the latest version of the mobile apps,Dongwook,4479,26,857,80,"Aug 16, 2024 · 7:48 PM UTC"
48,https://twitter.com/elonmusk/status/1824663503287759332#m,Great explanation of inflation by @friedberg,Elon Musk,165015,1377,49601,6663,"Aug 17, 2024 · 4:24 AM UTC"
49,https://twitter.com/elonmusk/status/1824652682545553634#m,"These demands violate Brazilian, Argentinian and US law!",Elon Musk,191175,1115,43976,6773,"Aug 17, 2024 · 3:41 AM UTC"
50,https://twitter.com/MarioNawfal/status/1824492995007152270#m,"DOUGLAS MURRAY: ELON HAS THE GUTS TO SAY THE TRUTH ON THE SITUATION IN THE UK   “Jonathan Freedland of the Guardian [who called for Elon Musk to be arrested], is a very obscure figure.  He is not at all known outside a small amount of the left-wing in the UK, but he has the audacity to claim that the British authority should arrest an American citizen.  I mean, I don't know if Jonathan Freedman knows his history, I assume he does.   He's a relatively intelligent man.   But he should know that America fought quite a significant war in order that American citizens would not, in fact, be under the writ of British law.   And thank goodness Elon Musk isn't.  And thank goodness he has the guts to continue, like a number of the rest of us, to say, what is the truth.  The reason you see so much of the media running against Elon Musk at the moment, is they recognize that his platform, Twitter, is beating all of them, or most of them, in all the stakes.  And that's very scary for some of these old media who can't keep up, and don't have very many readers, like the Guardian.  It's perfectly possible, that people like me, billionaires like Elon Musk, will be able to get through this era and will survive it.  And I certainly plan to, and I'm sure and know that Musk does as well.  But what about, as you say, the person who does not have the platform that I have or the means that Elon Musk has?  What about them?  As it's happening all the time at the moment in the UK, police forces that have not solved one burglary in recent years are knocking on people's doors and arresting them for Facebook posts, for retweeting things.”  Source: Interview with @DouglasKMurray  on Sky News, August 15, 2024",Mario Nawfal,20300,140,4570,805,"Aug 16, 2024 · 5:06 PM UTC"
51,https://twitter.com/elonmusk/status/1824639011710779760#m,,Elon Musk,386224,1788,35435,10701,"Aug 17, 2024 · 2:46 AM UTC"
52,https://twitter.com/SpaceX/status/1824624354975416771#m,"Falcon 9 launches 116 spacecraft to orbit, completing our 375th mission!",SpaceX,19049,111,2542,1116,"Aug 17, 2024 · 1:48 AM UTC"
53,https://twitter.com/elonmusk/status/1824470434622083589#m,"But, amazingly, some people still believe the legacy media!",Elon Musk,76884,301,12775,4955,"Aug 16, 2024 · 3:37 PM UTC"
54,https://twitter.com/elonmusk/status/1824466456207094216#m,The memes know,Elon Musk,663406,3299,101316,21921,"Aug 16, 2024 · 3:21 PM UTC"
55,https://twitter.com/SpaceX/status/1824133359087546470#m,Falcon 9 launches the @Maxar 2 mission to orbit from Florida and lands on Landing Zone 1,SpaceX,18512,111,2435,906,"Aug 15, 2024 · 5:17 PM UTC"
56,https://twitter.com/elonmusk/status/1824423656266555474#m,"Kiss, kiss 🔫🔫",Elon Musk,348135,4615,24015,23493,"Aug 16, 2024 · 12:31 PM UTC"
57,https://twitter.com/elonmusk/status/1824415602032754871#m,Always view to the source material,Elon Musk,193934,876,41993,6108,"Aug 16, 2024 · 11:59 AM UTC"
58,https://twitter.com/elonmusk/status/1824411157269975500#m,Exactly,Elon Musk,124689,720,32086,5645,"Aug 16, 2024 · 11:41 AM UTC"
59,https://twitter.com/elonmusk/status/1824410638707237102#m,It’s crazy how much people trust the media in Europe!,Elon Musk,171959,1068,22964,12278,"Aug 16, 2024 · 11:39 AM UTC"
60,https://twitter.com/elonmusk/status/1824410315422871867#m,"Inflation is caused by the Federal government spending more than it earns, because they just print more money to make up the difference.   To solve inflation, reduce wasteful government spending. Your tax dollars should be spent well, not poorly.",Elon Musk,788247,12952,143191,49425,"Aug 16, 2024 · 11:38 AM UTC"
61,https://twitter.com/elonmusk/status/1824409551338148309#m,"What happens when price controls are mandated https://www.npr.org/sections/parallels/2015/10/29/452636462/the-nightmare-of-grocery-shopping-in-venezuela#:~:text=Kyodo%2FLandov-,Empty%20shelves%2C%20like%20these%20at%20a%20supermarket%20in%20Caracas%2C%20are,scanning%20to%20prove%20their%20identity.",Elon Musk,167185,2487,48957,11290,"Aug 16, 2024 · 11:35 AM UTC"
62,https://twitter.com/elonmusk/status/1824333954519900371#m,Yes,Elon Musk,178498,746,24892,8136,"Aug 16, 2024 · 6:34 AM UTC"
63,https://twitter.com/thecaptain_nemo/status/1824235427207004520#m,,Nemo,10736,76,1731,877,"Aug 16, 2024 · 12:03 AM UTC"
64,https://twitter.com/elonmusk/status/1824189343386284066#m,Haha very accurate!  Grok could give you news that’s actually useful & doesn’t just make you feel sad.,Elon Musk,57864,298,9434,3913,"Aug 15, 2024 · 9:00 PM UTC"
65,https://twitter.com/elonmusk/status/1824177430606778646#m,🎶 Starships were meant to fly 🎶,Elon Musk,146998,640,14830,5846,"Aug 15, 2024 · 8:12 PM UTC"
66,https://twitter.com/elonmusk/status/1824019125720539371#m,Good examples of how to make a wide range of cool images with Grok,Elon Musk,53371,290,7887,5116,"Aug 15, 2024 · 9:43 AM UTC"
67,https://twitter.com/elonmusk/status/1823864180400906326#m,😂,Elon Musk,41534,237,5031,3353,"Aug 14, 2024 · 11:28 PM UTC"
68,https://twitter.com/cb_doge/status/1823830095775056356#m,This image was generated by AI using Grok.,DogeDesigner,18266,153,2130,1812,"Aug 14, 2024 · 9:12 PM UTC"
69,https://twitter.com/elonmusk/status/1823828864474513497#m,Most American-made car in America   https://x.com/i/grok/share/sSKQx9jLu34CxAzNdYPMQ7KOX,Elon Musk,62460,300,7905,3823,"Aug 14, 2024 · 9:07 PM UTC"
70,https://twitter.com/shaunmmaguire/status/1823766427817722225#m,"Grok-2 is a crazy improvement, go play with it",Shaun Maguire,8023,16,1086,501,"Aug 14, 2024 · 4:59 PM UTC"
71,https://twitter.com/elonmusk/status/1823805120385310796#m,Worth it!,Elon Musk,37029,238,4261,4344,"Aug 14, 2024 · 7:33 PM UTC"
72,https://twitter.com/dogeofficialceo/status/1823795088797130809#m,I'm not sure there's a better bang-for-your-buck subscription than X Premium on the market right now. 🔥,Sir Doge of the Coin ⚔️,5979,30,843,438,"Aug 14, 2024 · 6:53 PM UTC"
73,https://twitter.com/elonmusk/status/1823796943954567284#m,"It is hilariously absurd to claim that CNN has no bias, as even the liberal audience of Colbert knows 😂",Elon Musk,317884,1583,49755,8185,"Aug 14, 2024 · 7:00 PM UTC"
74,https://twitter.com/elonmusk/status/1823793687169785863#m,"Only $8/month (if you subscribe via web) to get AI access, far fewer ads and many awesome features!",Elon Musk,46746,497,6101,6245,"Aug 14, 2024 · 6:47 PM UTC"
75,https://twitter.com/elonmusk/status/1823763121917583812#m,,Elon Musk,624502,2759,90922,18266,"Aug 14, 2024 · 4:46 PM UTC"
76,https://twitter.com/elonmusk/status/1823761547031937072#m,Grok is the most fun AI in the world!,Elon Musk,36763,192,4534,2886,"Aug 14, 2024 · 4:40 PM UTC"
77,https://twitter.com/elonmusk/status/1823759092944658559#m,😂,Elon Musk,79778,178,6240,2280,"Aug 14, 2024 · 4:30 PM UTC"
78,https://twitter.com/elonmusk/status/1823756208207196235#m,😂,Elon Musk,24537,46,2855,1632,"Aug 14, 2024 · 4:18 PM UTC"
79,https://twitter.com/cb_doge/status/1823744437706743847#m,Just a reminder:  𝕏 will pay legal bills of users 'unfairly treated' by their employer due to posting something on this platform.,DogeDesigner,26170,314,5615,1643,"Aug 14, 2024 · 3:32 PM UTC"
80,https://twitter.com/elonmusk/status/1823745969575637416#m,Subscribe to 𝕏 Premium for the most fun!,Elon Musk,25300,150,3122,3039,"Aug 14, 2024 · 3:38 PM UTC"
81,https://twitter.com/elonmusk/status/1823742501884453312#m,Haters will say this is AI  🕺🕺,Elon Musk,1891240,24980,231476,104517,"Aug 14, 2024 · 3:24 PM UTC"
82,https://twitter.com/elonmusk/status/1823736173661184281#m,Do we have great moves or what? 🤣🤣,Elon Musk,19660,83,1456,2031,"Aug 14, 2024 · 2:59 PM UTC"
83,https://twitter.com/farzyness/status/1792294458660151331#m,"The US has a fertility crisis, but we can easily fix it.  The fertility rate in the US is below replacement rate, at 1.78 births per woman in 2023. This is the lowest rate on record. This means that if we continue on, the US population will progressively get older and smaller.  This will dramatically reduce the size of our economy, decrease innovation, and will burden younger folks with the costs and time associated with taking care of the elderly.  There will be too much time and money spent on keeping society from collapsing vs investing time and money to grow it. We will all die pooping our pants with almost no one in sight.  It will suck. Really bad.  However, the fix is much simpler than we all realize, and all we have to do is cater to our primal instincts by putting in place incentives that will tickle it.  One of our largest primal instincts is the need for safety and security. In today's world, the single biggest tool that we use to achieve that is money.  Money for food, shelter, water, transportation. You name it.  Money rules everything.  Knowing this, all we would have to do is creative an incentive that will pay people to have children.  ""Show me the incentive and I'll show you the outcome"", the great late Charlie Munger once said.  And thus, my very simple proposal to increase the fertility rate in the US, which will in turn ensure the country will continue to grow and flourish, is the following:  Increase the child tax credit from $2,000 to $6,500 per child.  This will make it so that the bottom 80% of income earners in the US that raise at least 3 children will pay $0 in federal taxes. This equals to roughly 84 million families.  Having 3 children will ensure that population growth continues. Plus, the more kids folks wanna have, the more they'll benefit, especially as they continue to work to create more value.  Now, let's get into the numbers to see how much this would cost.  See below breakdown of federal taxes paid by each family income bracket, broken down by 20% segments (bottom 20%, second 20%, etc.)  This program, as long as folks are having 3 children, will cost $611 billion to fund the bottom 80%, and another $334B from the top 20%.  This totals to $946 Billion.  Let's look at how the US Government spends its money today so we can gauge how realistic this is. Here's a breakdown of the US Government expenses in 2023:  To summarize: - $3.8 Trillion in Mandatory expenses (set by law like Social Security, Medicare, etc.) - $1.7 Trillion in Discretionary (fluctuates annually based on lawmaker approvals) - $659 Billion in Interest payments on US debt  Now, here's a breakdown of where the US gets its tax revenue from to fund all these programs. These are the taxes all of us pay, including corporations:  $2.2T of the $4.4T in revenue comes from individual taxes, which this program would impact directly. These taxes would essentially be cut in half, lowering our total tax revenue from $4.4T to $3.5T.  However, even in our current state, we needed to take borrow $1.7 TRILLION in debt to pay for the shortfall vs the US budget. We made $4.4 trillion in revenue, yet we spent $6.1 trillion.  We overspent by the same amount as our Discretionary spending, and our interest payments are about to become as big as our Defense budget.  Cutting another $946 billion in revenue would increase the deficit by the same amount, making it $2.7 Trillion. However, here's my very simply solution to not only keep the deficit the same with this new program, but likely lowering it over time:  Cut the US Federal Budget of $6.1 Trillion by 20% across the board, down to $4.88 Trillion. This would instantly save $1.22 trillion per year in expenses, fully funding this $946 Billion program within the current budget parameters, and additionally lowering our deficit from $1.7 Trillion to $1.4 Trillion.  New Revenue: $3.5 Trillion (down 20%) New Expenses: $$4.88 Trillion (down 20%) New Deficit: $1.4 Trillion (down 18%)  This proposal is based on the following premise:  - This is the most existential issue facing our country - period. It's not our eternal rivalry with Russia, our battle with China's ambitions with Taiwan, or our battle with terrorists. It's us dying out because we aren't making enough of us. Period. Full stop. Not even close. - The US government is incredibly bloated and inefficient. You know this. I know this. People who work in Government know this. Our politicians know this. To think that we couldn't somehow keep the lights on and remove decades of dead weight by cutting expenses by 20% is silly. Elon Musk removed 85%+ of Twitter, and we're all still here folks... and private companies are already more efficient than Government entities. Imagine how much waste there is. - The massive boom in population growth in the US would bring with it a gigantic economic boom. More people = more demand. More demand = more business volume. More business volume = more money spent. More money spent = more taxes paid. It will start a giant flywheel of revenue for the US government. This might even help us offset our deficit in the long term. - It will strategically place the US as the only Western Nation that has a booming population, instead of one that has a shrinking one. Every single major western economy, including some eastern ones like China, are fighting this literal death spiral. - People will finally go back to feeling like starting a family isn't a giant financial burden on their everyday lives, and the population would regain trust in the Government once again, due to its incentives being fully aligned with those of the people. Have more kids = make more money. Super simple. - The simplicity of this proposal will make it easier for the American public to buy in. No complicated loopholes. No catering to an income bracket or another. No special interests involved. A simple alignment of incentives between the US government and the American public.  Let me know what you think.",Farzad,7086,144,1588,1291,"May 19, 2024 · 8:41 PM UTC"
84,https://twitter.com/elonmusk/status/1823733168530448698#m,,Elon Musk,541664,4051,52470,17110,"Aug 14, 2024 · 2:47 PM UTC"
85,https://twitter.com/elonmusk/status/1823730362264248798#m,,Elon Musk,337107,2981,34957,13255,"Aug 14, 2024 · 2:36 PM UTC"
86,https://twitter.com/elonmusk/status/1823728989921534265#m,Drive long distance anywhere in America!,Elon Musk,115255,252,7799,3926,"Aug 14, 2024 · 2:30 PM UTC"
87,https://twitter.com/elonmusk/status/1823725011280257501#m,Even Neo had to “Accept cookies to continue”,Elon Musk,286456,1155,22492,5594,"Aug 14, 2024 · 2:15 PM UTC"
88,https://twitter.com/elonmusk/status/1823723016741961818#m,Interesting demographics,Elon Musk,95163,654,14427,7966,"Aug 14, 2024 · 2:07 PM UTC"
89,https://twitter.com/elonmusk/status/1823625896802312560#m,😛😂,Elon Musk,29021,115,3359,3034,"Aug 14, 2024 · 7:41 AM UTC"
90,https://twitter.com/ajtourville/status/1823605955445277120#m,Grok 2 (beta) is truthful and well informed  https://x.com/i/grok/share/4E3Ptks34fuedLm2NpdXsP088,ALEX,9082,27,1357,637,"Aug 14, 2024 · 6:21 AM UTC"
91,https://twitter.com/elonmusk/status/1823608213826396602#m,💫,Elon Musk,100534,163,8630,2946,"Aug 14, 2024 · 6:30 AM UTC"
92,https://twitter.com/lxuechen/status/1823602158518067539#m,"Have been post-training Grok2 for a while and am excited to share that it’s officially out!!  We’ve been testing early versions of Grok2 on LMSYS chatbot arena under the names of sus-column-r and column-r, and the models perform well!  @xai is still a super small team (an order of magnitude smaller than other players in the field!!), and we’re always looking for exceptional talent to join our journey. https://x.ai/careers  Consider applying to our post-training team if you’re excited about building useful and truthful AI systems! https://boards.greenhouse.io/xai/jobs/4374125007",Xuechen Li,5983,24,865,359,"Aug 14, 2024 · 6:06 AM UTC"
93,https://twitter.com/elonmusk/status/1823600763798687858#m,Join @xAI!,Elon Musk,14004,65,1840,1246,"Aug 14, 2024 · 6:01 AM UTC"
94,https://twitter.com/elonmusk/status/1823600291096502279#m,Rate of progress of Grok is 🚀 🚀🚀,Elon Musk,20635,108,3010,1679,"Aug 14, 2024 · 5:59 AM UTC"
95,https://twitter.com/elonmusk/status/1823599371084292532#m,Congrats to the hardworking @xAI team!  Rate of progress is excellent.,Elon Musk,35690,111,3137,1839,"Aug 14, 2024 · 5:55 AM UTC"
96,https://twitter.com/elonmusk/status/1823593475205685588#m,R R R R Sus,Elon Musk,159710,2984,8924,11589,"Aug 14, 2024 · 5:32 AM UTC"
97,https://twitter.com/elonmusk/status/1823590834316660961#m,Yup,Elon Musk,62144,171,12028,1764,"Aug 14, 2024 · 5:21 AM UTC"
98,https://twitter.com/elonmusk/status/1823590581190492398#m,Tesla HQ pic taken this morning,Elon Musk,332456,837,19226,8910,"Aug 14, 2024 · 5:20 AM UTC"
99,https://twitter.com/elonmusk/status/1823567146661896401#m,Very important! An amazing number of people still believe the legacy media propaganda.,Elon Musk,67007,346,15580,4075,"Aug 14, 2024 · 3:47 AM UTC"
100,https://twitter.com/elonmusk/status/1823566118608625721#m,lol,Elon Musk,698581,2192,42311,7709,"Aug 14, 2024 · 3:43 AM UTC"
101,https://twitter.com/elonmusk/status/1823514122316808644#m,This platform is being asked to censor content in Brazil where the censorship demands require us to violate Brazilian law! That is not right.,Elon Musk,260858,2234,64063,10950,"Aug 14, 2024 · 12:17 AM UTC"
